ano,estado,consumo_residencial_absoluto,consumo_industrial_absoluto,populacao_absoluta,pib_absoluto,ideb,consumo_residencial_per_capita,consumo_industrial_per_capita,pib_per_capita,populacao_absoluta_yoy,consumo_residencial_absoluto_yoy,consumo_industrial_absoluto_yoy,populacao_absoluta_yoy_acumulado,consumo_residencial_absoluto_yoy_acumulado,lat,long,regiao,sigla
2005,Rio de Janeiro,10422327.0,9378178.0,15383407.0,269830061004.0,4.0,0.6775044695885638,0.609629453345413,17540.331670611067,1.1816624188111469,7.133762204431582,3.1338207957957165,1.2,7.1,-22.906847,-43.172896,Sudeste,RJ
2006,Rio de Janeiro,10508107.0,9140638.0,15561720.0,299738183009.0,4.05,0.6752535709420295,0.5873796726839964,19261.25023512825,1.1591255435158265,0.8230407662319639,-2.5329013802041334,2.4,8.0,-22.906847,-43.172896,Sudeste,RJ
2007,Rio de Janeiro,10652170.0,9463105.0,15420450.0,323698285517.0,4.1,0.690782045919542,0.6136724284959258,20991.49412092384,-0.9078045357454045,1.3709700519798584,3.527839085192963,1.4000000000000001,9.5,-22.906847,-43.172896,Sudeste,RJ
2008,Rio de Janeiro,10772914.0,9443417.0,15872362.0,378285800318.0,4.25,0.6787215412551705,0.5949597797731679,23832.987196108556,2.9306018955348234,1.1335155184342804,-0.2080501061755058,4.3999999999999995,10.7,-22.906847,-43.172896,Sudeste,RJ
2009,Rio de Janeiro,11436806.0,8119517.0,16010429.0,391650854275.0,4.4,0.7143347626725055,0.5071392527957871,24462.23360254744,0.8698579329276868,6.162603730058547,-14.01928983968409,5.3,17.599999999999998,-22.906847,-43.172896,Sudeste,RJ
2010,Rio de Janeiro,11866517.0,9517035.0,15989929.0,449858101109.0,4.6,0.7421244334480784,0.5951893219788531,28133.839813109866,-0.12804154092310727,3.7572640473223062,17.211836615404597,5.2,22.0,-22.906847,-43.172896,Sudeste,RJ
2011,Rio de Janeiro,12340103.0,8937740.0,16112678.0,512767904769.0,4.8,0.765862943453596,0.5547023281915023,31823.878362678133,0.7676644467902172,3.9909435936425153,-6.08692728354997,6.0,26.8,-22.906847,-43.172896,Sudeste,RJ
2012,Rio de Janeiro,12367313.0,9073326.0,16231365.0,574884973130.0,4.85,0.7619391837963104,0.5589995665798903,35418.15325636507,0.7366062922625316,0.22050059063527527,1.517005417476902,6.800000000000001,27.1,-22.906847,-43.172896,Sudeste,RJ
2013,Rio de Janeiro,12832744.0,9287161.0,16369179.0,628226069362.0,4.9,0.7839577049038318,0.5673565546567729,38378.593658362464,0.8490598295337382,3.763396301201394,2.3567432714310055,7.7,31.900000000000002,-22.906847,-43.172896,Sudeste,RJ
2014,Rio de Janeiro,13863606.0,8804795.0,16461173.0,671076844311.0,5.05,0.8422003705325253,0.5348825991926578,40767.25542651183,0.561995198415266,8.033059803889175,-5.19390155936782,8.3,42.5,-22.906847,-43.172896,Sudeste,RJ
2015,Rio de Janeiro,13871971.0,8798101.0,16550024.0,659138951833.0,5.2,0.8381843434184748,0.5316065402684612,39827.06924370623,0.5397610486202797,0.06033783706778095,-0.07602675587563557,8.9,42.6,-22.906847,-43.172896,Sudeste,RJ
2016,Rio de Janeiro,13706131.0,8398516.0,16635996.0,640401206447.0,5.25,0.8238840043000731,0.5048399867371932,38494.91226416501,0.51946752463925,-1.195504229355726,-4.541718718618936,9.4,40.9,-22.906847,-43.172896,Sudeste,RJ
2017,Rio de Janeiro,13218810.0,8209542.0,16718956.0,671605668055.0,5.3,0.79064805242624,0.49103197592002756,40170.31135526644,0.49867768662603673,-3.5554964417018886,-2.250087991735683,10.0,35.9,-22.906847,-43.172896,Sudeste,RJ
2018,Rio de Janeiro,13415864.0,8333900.0,17159960.0,758859046865.0,5.349999999999999,0.7818120788160345,0.4856596402322616,44222.65826173255,2.6377484335744494,1.4907090729044503,1.5147982676743776,12.9,37.9,-22.906847,-43.172896,Sudeste,RJ
2019,Rio de Janeiro,13270200.0,8008461.0,17264943.0,779927917084.0,5.400000000000001,0.7686211301132011,0.46385678771137556,45174.080046716634,0.6117904703740518,-1.0857593666721677,-3.9050024598327293,13.600000000000001,36.4,-22.906847,-43.172896,Sudeste,RJ
2020,Rio de Janeiro,13458546.0,8040374.0,17366189.0,753823710636.0,5.349999999999999,0.7749855768585727,0.4629901240853707,43407.54961471397,0.586425336011831,1.4193154586969348,0.39849104590756745,14.2,38.3,-22.906847,-43.172896,Sudeste,RJ
2006,Rondônia,430249.0,176969.0,1562417.0,13054713344.0,3.9000000000000004,0.27537398786623546,0.11326617669930626,8355.460382215504,,,,0.0,0.0,-8.76194,-63.903538,Norte,RO
2007,Rondônia,579235.0,271057.0,1453756.0,14438376499.0,3.9,0.398440315981499,0.18645288480322694,9931.774313571192,-6.954673432252722,34.62785503278334,53.16637377167752,-7.000000000000001,34.599999999999994,-8.76194,-63.903538,Norte,RO
2008,Rondônia,619767.0,300800.0,1493566.0,17285541726.0,4.1,0.4149578927211787,0.20139719302662218,11573.33638151913,2.738423779506327,6.997505330306342,10.972968785163273,-4.3999999999999995,44.0,-8.76194,-63.903538,Norte,RO
2009,Rondônia,685006.0,320707.0,1503928.0,19725009504.0,4.3,0.4554779218154061,0.21324624583091745,13115.66079227197,0.6937758358184443,10.526375234563968,6.618018617021271,-3.6999999999999997,59.199999999999996,-8.76194,-63.903538,Norte,RO
2010,Rondônia,793946.0,394081.0,1562409.0,23907886882.0,4.45,0.5081550349492354,0.2522265296730882,15301.938789395095,3.8885505157161715,15.903510334216042,22.87882709139495,-0.0,84.5,-8.76194,-63.903538,Norte,RO
2011,Rondônia,875460.0,432199.0,1576455.0,27574714379.0,4.6,0.5553345956592481,0.274158792988065,17491.596258060013,0.8989963575478654,10.266945107097957,9.672630753576051,0.8999999999999999,103.49999999999999,-8.76194,-63.903538,Norte,RO
2012,Rondônia,1060709.0,567555.0,1590011.0,30112720320.0,4.85,0.6671079634040268,0.3569503607207749,18938.686788959323,0.8599040251703993,21.16019007150527,31.317980837530857,1.7999999999999998,146.5,-8.76194,-63.903538,Norte,RO
2013,Rondônia,1084123.0,598583.0,1728214.0,31121412531.0,5.1,0.6273083078831673,0.34635930503976936,18007.846557775832,8.691952445612007,2.2073914711763454,5.46695914933355,10.6,152.0,-8.76194,-63.903538,Norte,RO
2014,Rondônia,1157447.0,552977.0,1748531.0,34030981973.0,5.2,0.6619539487718548,0.3162523283830827,19462.612886474417,1.1756067246301738,6.763439203854182,-7.6189935230369095,11.899999999999999,169.0,-8.76194,-63.903538,Norte,RO
2015,Rondônia,1177037.0,450399.0,1768204.0,36563332700.0,5.3,0.6656681016443804,0.25472117470608596,20678.232093129525,1.12511588298978,1.6925181023407454,-18.550138613360044,13.200000000000001,173.6,-8.76194,-63.903538,Norte,RO
2016,Rondônia,1151494.0,414072.0,1787279.0,39460358978.0,5.5,0.6442721030124564,0.23167731506944356,22078.455002268813,1.0787782405197621,-2.1701102004439976,-8.065515243151077,14.399999999999999,167.6,-8.76194,-63.903538,Norte,RO
2017,Rondônia,1225442.0,423850.0,1805788.0,43516147492.0,5.7,0.6786189740988422,0.23471747514104646,24098.148560074605,1.0355965688624957,6.421917960493073,2.3614250661720737,15.6,184.8,-8.76194,-63.903538,Norte,RO
2018,Rondônia,1248984.0,450439.0,1757589.0,44913978486.0,5.599999999999999,0.7106234734058986,0.2562823276659105,25554.312462128517,-2.6691394560158788,1.921102753129067,6.2732098619794785,12.5,190.3,-8.76194,-63.903538,Norte,RO
2019,Rondônia,1291094.0,455365.0,1777225.0,47091335805.0,5.5,0.7264662606029062,0.25622248167789674,26497.115337112635,1.1172122720385813,3.371540388027383,1.093599799306899,13.700000000000001,200.1,-8.76194,-63.903538,Norte,RO
