sigla_uf,ano,populacao
TO,2016,1532902
AC,2017,829619
AL,2017,3375823
AM,2017,4063614
AP,2017,797722
BA,2017,15344447
CE,2017,9020460
DF,2017,3039444
ES,2017,4016356
GO,2017,6778772
MA,2017,7000229
MG,2017,21119536
MS,2017,2713147
MT,2017,3344544
PA,2017,8366628
PB,2017,4025558
PE,2017,9473266
PI,2017,3219257
PR,2017,11320892
RJ,2017,16718956
RN,2017,3507003
RO,2017,1805788
RR,2017,522636
RS,2017,11322895
SC,2017,7001161
SE,2017,2288116
SP,2017,45094866
TO,2017,1550194
AC,2018,869265
AL,2018,3322820
AM,2018,4080611
AP,2018,829494
BA,2018,14812617
CE,2018,9075649
DF,2018,2974703
ES,2018,3972388
GO,2018,6921161
MA,2018,7035055
MG,2018,21040662
MS,2018,2748023
MT,2018,3441998
PA,2018,8513497
PB,2018,3996496
PE,2018,9496294
PI,2018,3264531
PR,2018,11348937
RJ,2018,17159960
RN,2018,3479010
RO,2018,1757589
RR,2018,576568
RS,2018,11329605
SC,2018,7075494
SE,2018,2278308
SP,2018,45538936
TO,2018,1555229
AC,2019,881935
AL,2019,3337357
AM,2019,4144597
AP,2019,845731
BA,2019,14873064
CE,2019,9132078
DF,2019,3015268
ES,2019,4018650
GO,2019,7018354
MA,2019,7075181
MG,2019,21168791
MS,2019,2778986
MT,2019,3484466
PA,2019,8602865
PB,2019,4018127
PE,2019,9557071
PI,2019,3273227
PR,2019,11433957
RJ,2019,17264943
RN,2019,3506853
RO,2019,1777225
RR,2019,605761
RS,2019,11377239
SC,2019,7164788
SE,2019,2298696
SP,2019,45919049
TO,2019,1572866
AC,2020,894470
AL,2020,3351543
AM,2020,4207714
AP,2020,861773
BA,2020,14930634
CE,2020,9187103
DF,2020,3055149
ES,2020,4064052
GO,2020,7113540
MA,2020,7114598
MG,2020,21292666
MS,2020,2809394
MT,2020,3526220
PA,2020,8690745
PB,2020,4039277
PE,2020,9616621
PI,2020,3281480
PR,2020,11516840
RJ,2020,17366189
RN,2020,3534165
RO,2020,1796460
RR,2020,631181
RS,2020,11422973
SC,2020,7252502
SE,2020,2318822
SP,2020,46289333
TO,2020,1590248
AC,2021,906876
AL,2021,3365351
AM,2021,4269995
AP,2021,877613
BA,2021,14985284
CE,2021,9240580
DF,2021,3094325
ES,2021,4108508
GO,2021,7206589
MA,2021,7153262
MG,2021,21411923
MS,2021,2839188
MT,2021,3567234
PA,2021,8777124
PB,2021,4059905
PE,2021,9674793
PI,2021,3289290
PR,2021,11597484
RJ,2021,17463349
RN,2021,3560903
RO,2021,1815278
RR,2021,652713
RS,2021,11466630
SC,2021,7338473
SE,2021,2338474
SP,2021,46649132
TO,2021,1607363
