Empresa de Pesquisa Energética - EPE,,,,,,,,,,,,,
Consumo de energia elétrica na rede (MWh),,,,,,,,,,,,,
Sistema SIMPLES,,,,,,,,,,,,,
,,,,,,,,,,,,,
,2023*,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
Nordeste,  6.777.095 ,  6.429.620 ,  6.628.741 ,  6.580.056 ,  6.338.504 ,  6.331.917 ,  6.296.865 ,  6.398.043 ,  6.451.708 ,  6.790.720 ,  6.749.533 ,  6.975.130 ,  78.747.933 
Sudeste/C.Oeste,  24.992.166 ,  24.038.971 ,  25.570.380 ,  24.674.947 ,  23.503.160 ,  23.395.029 ,  23.006.915 ,  23.391.625 ,  24.611.547 ,  24.791.530 ,  23.969.038 ,  24.503.463 ,  290.448.771 
Sul,  8.117.258 ,  7.972.092 ,  8.257.890 ,  8.114.934 ,  7.579.902 ,  7.330.463 ,  7.472.284 ,  7.611.805 ,  7.349.094 ,  7.447.106 ,  7.611.454 ,  7.896.309 ,  92.760.592 
,,,,,,,,,,,,,
,2020,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL BRASIL,  41.329.206 ,  40.964.139 ,  41.138.619 ,  37.264.054 ,  36.124.236 ,  35.769.050 ,  37.869.299 ,  39.242.226 ,  40.352.370 ,  42.923.615 ,  41.430.694 ,  42.161.403 ,  476.568.909 
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,  2.894.526 ,  2.836.047 ,  2.815.284 ,  2.629.850 ,  2.656.714 ,  2.708.916 ,  2.898.335 ,  3.035.361 ,  3.085.360 ,  3.160.122 ,  3.007.704 ,  2.991.752 ,  34.719.971 
Nordeste,  7.122.375 ,  6.808.203 ,  6.929.932 ,  6.362.705 ,  6.356.709 ,  6.234.574 ,  6.529.700 ,  6.521.734 ,  6.823.175 ,  7.365.126 ,  7.009.816 ,  7.105.679 ,  81.169.727 
Sudeste,  20.157.502 ,  19.994.440 ,  20.221.091 ,  18.064.680 ,  17.378.115 ,  17.315.901 ,  18.381.116 ,  19.324.707 ,  19.785.077 ,  21.224.407 ,  20.377.363 ,  20.807.481 ,  233.031.882 
Sul,  7.980.476 ,  8.120.196 ,  7.950.414 ,  7.081.307 ,  6.672.170 ,  6.566.360 ,  6.979.431 ,  7.110.004 ,  7.263.503 ,  7.519.421 ,  7.616.851 ,  7.842.894 ,  88.703.026 
